Flock-1b Dove-20,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-21,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-22,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-23,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-24,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-25,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-26,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-27,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-28,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-3,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-4,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-5,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-6,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-7,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-8,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-9,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
"GEARRS-1 (GEARRSAT, Globalstar Experiment And Risk Reduction Satellite)",Near Space Launch,Company,US,3U,07/13/14,Antares,ISS,Space Technology
Lambdasat,San Jose State University,University,US,3U,07/13/14,Antares,ISS,Space Technology
MicroMAS-1,Massachusetts Institute of Technology,University,US,3U,07/13/14,Antares,ISS,Space Technology
TechEdSat-4,NASA Ames Research Center,Agency,US,3U,07/13/14,Antares,ISS,Space Technology
Flock-1b Dove-1,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-10,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-11,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
BRITE-PL-2,The Space Research Centre of the Polish Academy of Sciences,Institute,Poland,6 kg,08/19/14,Long March 4B,"670 km, 97.79 degree inclination.",Space Science
Arkyd 3,Planetary Resources,Company,US,3U,10/28/14,Antares,ISS,Space Technology
Flock-1d Dove-1,Planet Labs,Company,US,3U,10/28/14,Antares,ISS,Space Activity
