,Mission_Name,Organization,Organization_Type,Nation,Sat_Type,Launch_Year,Rocket,Orbit,Mission_Type,region,Year
135,SMDC-ONE 2.1 (Able),Space & Missile Defense Command,Military,US,3U,09-13-12,Atlas V,"770 x 480 km, 66 degree inclination",Space Technology,North America,2012
136,SMDC-ONE 2.2 (Baker),Space & Missile Defense Command,Military,US,3U,09-13-12,Atlas V,"770 x 480 km, 66 degree inclination",Space Technology,North America,2012
137,AAUSAT3,Aalborg University,University,Denmark,1U,02-25-13,PSLV,"781 km, 98.55 degree inclination",Space Technology,Europe,2013
138,"STRaND-1 (Surrey Training, Research and Nanosatellite Demonstrator)",Surrey Satellite Technology,Company,UK,3U,02-25-13,PSLV,"781 km, 98.55 degree inclination",Space Technology,Europe,2013
139,"TUGSat 1 (Technische Universität Graz Satellit), BRITE-Austria (BRIght-star Target Explorer - Austria)",Graz University of Technology,University,Austria,7 kg,02-25-13,PSLV,"781 km, 98.55 degree inclination",Space Science,Europe,2013
140,UniBRITE-1,University of Vienna,University,Austria,7 kg,02-25-13,PSLV,"781 km, 98.55 degree inclination",Space Science,Europe,2013
141,BEESAT-2,Berlin Technical University,University,Germany,1U,04-19-13,Sojuz-2.1b,"575 km, 64.9 degree inclination.",Space Technology,Europe,2013
142,BEESAT-3,Berlin Technical University,University,Germany,1U,04-19-13,Sojuz-2.1b,"575 km, 64.9 degree inclination.",Space Technology,Europe,2013
143,Dove-2,Planet Labs,Company,US,3U,04-19-13,Sojuz-2.1b,"575 km, 64.9 degree inclination.",Space Technology,North America,2013
144,OSSI-1,Open Source Satellite Initiative,Individual,South Korea,1U,04-19-13,Sojuz-2.1b,"575 km, 64.9 degree inclination.",Space Technology,Asia,2013
145,SOMP (Students Oxygen Measurement Project),Dresden University of Technology,University,Germany,1U,04-19-13,Sojuz-2.1b,"575 km, 64.9 degree inclination.",Space Technology,Europe,2013
146,Dove-1,Planet Labs,Company,US,3U,04-21-13,Antares,"250 x 260 km, 51.6 degree inclination",Space Technology,North America,2013
147,PhoneSat 1.0a (Graham),NASA Ames Research Center,Agency,US,1U,04-21-13,Antares,"251 x 260 km, 51.6 degree inclination",Space Technology,North America,2013
148,PhoneSat 1.0b (Bell),NASA Ames Research Center,Agency,US,1U,04-21-13,Antares,"252 x 260 km, 51.6 degree inclination",Space Technology,North America,2013
149,PhoneSat 2.0a (Alexander),NASA Ames Research Center,Agency,US,1U,04-21-13,Antares,"253 x 260 km, 51.6 degree inclination",Space Technology,North America,2013
150,CubeBug-1 (Capitán Beto),Satellogic,Company,Argentina,2U,04-26-13,Long March 2D,"650 km, 98.05 degree inclination",Space Technology,South America,2013
151,NEE-01 Pegaso,Ecuadorian Space Agency,Agency,Ecuador,1U,04-26-13,Long March 2D,"650 km, 98.05 degree inclination",Space Technology,South America,2013
152,TurkSat-3USat,ITU (Istanbul Technical University,University,Turkey,3U,04-26-13,Long March 2D,"650 km, 98.05 degree inclination",Space Technology,Asia,2013
153,ESTCube-1,University of Tartu,University,Estonia,1U,05-07-13,Vega,"670 km, 98.5 degree inclination.",Space Technology,Europe,2013
154,ArduSat,Spire (Nanosatisfi),Company,US,1U,08-03-13,H-2B,ISS,Space Activity,North America,2013
155,ArduSat-X,Spire (Nanosatisfi),Company,US,1U,08-03-13,H-2B,ISS,Space Activity,North America,2013
156,Pico Dragon (Picodragon),Vietnam National Satellite Center,Agency,Vietnam,1U,08-03-13,H-2B,ISS,Space Technology,Asia,2013
